date,new_cases,cumulative_cases
1/27/2020,1,1
1/28/2020,1,2
2/4/2020,2,4
2/5/2020,1,5
2/7/2020,2,7
2/17/2020,1,8
2/21/2020,1,9
2/24/2020,1,10
2/25/2020,1,11
2/27/2020,2,13
2/28/2020,1,14
2/29/2020,6,20
3/1/2020,4,24
3/2/2020,3,27
3/3/2020,3,30
3/4/2020,4,34
3/5/2020,13,47
3/6/2020,7,54
3/7/2020,6,60
3/8/2020,7,67
3/9/2020,11,78
3/10/2020,18,96
3/11/2020,21,117
3/12/2020,40,157
3/13/2020,39,196
3/14/2020,54,250
3/15/2020,74,324
3/16/2020,101,425
3/17/2020,144,569
3/18/2020,121,690
3/19/2020,156,846
3/20/2020,209,1055
3/21/2020,226,1281
3/22/2020,148,1429
3/23/2020,632,2061
3/24/2020,690,2751
