date,new_cases,cumulative_cases
2020-01-27,1,1
2020-01-28,0,1
2020-02-04,2,3
2020-02-05,0,3
2020-02-07,0,3
2020-02-17,0,3
2020-02-21,0,3
2020-02-24,1,4
2020-02-25,0,4
2020-02-27,2,6
2020-02-28,0,6
2020-02-29,5,11
2020-03-01,4,15
2020-03-02,3,18
2020-03-03,2,20
2020-03-04,0,20
2020-03-05,3,23
2020-03-06,5,28
2020-03-07,0,28
2020-03-08,4,32
2020-03-09,3,35
2020-03-10,1,36
2020-03-11,6,42
2020-03-12,17,59
2020-03-13,20,79
2020-03-14,24,103
2020-03-15,42,145
2020-03-16,32,177
2020-03-17,12,189
2020-03-18,25,214
2020-03-19,44,258
2020-03-20,60,318
2020-03-21,59,377
2020-03-22,48,425
2020-03-23,78,503
2020-03-24,85,588
2020-03-25,100,688
2020-03-26,170,858
2020-03-27,135,993
2020-03-28,151,1144
2020-03-29,211,1355
2020-03-30,351,1706
