date,new_cases,cumulative_cases
2020-01-24,3,3
2020-01-28,1,4
2020-01-29,1,5
2020-01-30,1,6
2020-02-08,5,11
2020-02-14,0,11
2020-02-15,1,12
2020-02-25,2,14
2020-02-26,4,18
2020-02-27,16,34
2020-02-28,14,48
2020-02-29,17,65
2020-03-01,58,123
2020-03-02,80,203
2020-03-03,9,212
2020-03-04,78,290
2020-03-05,132,422
2020-03-06,190,612
2020-03-07,387,999
2020-03-08,231,1230
2020-03-09,219,1449
2020-03-10,334,1783
2020-03-11,497,2280
2020-03-12,595,2875
2020-03-13,785,3660
2020-03-14,838,4498
2020-03-15,924,5422
2020-03-16,1210,6632
2020-03-17,1097,7729
2020-03-18,1401,9130
2020-03-19,1574,10704
2020-03-20,1683,12387
2020-03-21,974,13361
2020-03-22,1467,14828
2020-03-23,2397,17225
2020-03-24,2444,19669
2020-03-25,3001,22670
2020-03-26,2977,25647
2020-03-27,2872,28519
2020-03-28,3124,31643
2020-03-29,2530,34173
2020-03-30,2845,37018
2020-03-31,3745,40763
2020-04-01,3871,44634
2020-04-02,3552,48186
2020-04-03,3339,51525
2020-04-04,2572,54097
2020-04-05,1846,55943
2020-04-06,2494,58437
2020-04-07,2986,61423
2020-04-08,2804,64227
